Airline,IOSA_1,IOSA_2,EU,Fatality,FAA,ICAO_1,ICAO_2,Rating
Saudia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
SBA Santa Barbara Airlines,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Scat,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Scoot,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
See airasia (one word),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaheen Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Shandong Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Shanghai Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Shenzhen Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Sichuan Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
SilkAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Silver Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Singapore Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Sky Airline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
SkyBahamas,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Skytrans,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Smartlynx,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Smartwings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Solaseed Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Solomon Airlines,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Somon Air,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
South African Airways (SAA),1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Southwest Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
SpiceJet,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Spirit Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Spring Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
SprintAir,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
SriLankan Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Sriwijaya Air and Nam Air,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Starflyer,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
StarPeru,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Sudan Airways,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0
Sun Country Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Sun Express,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Sunwing Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Surinam Airways,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Swiss International Air Lines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Syrian Air,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
T'way Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
TAAG Angola Airlines,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Taban Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Tajik Air,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
TAM,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
TAME,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
